iters	problem_size	bucket_range	time_a	time_b	time_c	time_d	time_e
0	20000000	64	0.104597s	2.252284s	0.430903s	0.014657s	2.802440s
1	20000000	64	0.098229s	2.399489s	0.419546s	0.015714s	2.932978s
2	20000000	64	0.116633s	2.495893s	0.436252s	0.014170s	3.062948s
3	20000000	64	0.115271s	2.458153s	0.447444s	0.016092s	3.036960s
4	20000000	64	0.103157s	2.201218s	0.442578s	0.014886s	2.761838s
0	20000000	128	0.106291s	1.274152s	0.506944s	0.014184s	1.901570s
1	20000000	128	0.107497s	1.433335s	0.489200s	0.013901s	2.043933s
2	20000000	128	0.111390s	1.535829s	0.502110s	0.014475s	2.163805s
3	20000000	128	0.106198s	1.284802s	0.484327s	0.013989s	1.889316s
4	20000000	128	0.112313s	1.529874s	0.508412s	0.014671s	2.165269s
0	20000000	256	0.110116s	0.909405s	0.568353s	0.013567s	1.601442s
1	20000000	256	0.107400s	0.833745s	0.558602s	0.013841s	1.513587s
2	20000000	256	0.105982s	0.870480s	0.558195s	0.015028s	1.549686s
3	20000000	256	0.107845s	0.835218s	0.556250s	0.014817s	1.514130s
4	20000000	256	0.108752s	0.840190s	0.571603s	0.013928s	1.534474s
0	20000000	512	0.102288s	0.686873s	0.657497s	0.013267s	1.459925s
1	20000000	512	0.115986s	0.787318s	0.635887s	0.012592s	1.551783s
2	20000000	512	0.110624s	0.696630s	0.642029s	0.013920s	1.463202s
3	20000000	512	0.105545s	0.759681s	0.712894s	0.014405s	1.592524s
4	20000000	512	0.124131s	0.775430s	0.635051s	0.013723s	1.548334s
0	20000000	1024	0.104339s	0.699067s	0.712895s	0.012394s	1.528696s
1	20000000	1024	0.114370s	0.700008s	0.702560s	0.012610s	1.529548s
2	20000000	1024	0.125832s	0.712242s	0.691866s	0.012612s	1.542553s
3	20000000	1024	0.110946s	0.664412s	0.719420s	0.012078s	1.506855s
4	20000000	1024	0.109540s	0.693005s	0.721231s	0.013191s	1.536967s
0	20000000	2048	0.110672s	0.648133s	0.749112s	0.011828s	1.519745s
1	20000000	2048	0.113413s	0.613934s	0.762842s	0.011906s	1.502096s
2	20000000	2048	0.108304s	0.613985s	0.770612s	0.011944s	1.504846s
3	20000000	2048	0.099002s	0.625872s	0.764103s	0.011311s	1.500288s
4	20000000	2048	0.120540s	0.621915s	0.762537s	0.011716s	1.516708s
0	20000000	4096	0.122612s	0.593015s	0.813061s	0.011295s	1.539983s
1	20000000	4096	0.104029s	0.566945s	0.831511s	0.011688s	1.514174s
2	20000000	4096	0.114995s	0.580893s	0.815285s	0.011606s	1.522778s
3	20000000	4096	0.105503s	0.560775s	0.827818s	0.011909s	1.506005s
4	20000000	4096	0.106606s	0.564509s	0.824801s	0.011320s	1.507236s
0	20000000	8196	0.101442s	0.515075s	0.875988s	0.011205s	1.503710s
1	20000000	8196	0.117736s	0.505515s	0.871125s	0.011160s	1.505537s
2	20000000	8196	0.103821s	0.502435s	0.877873s	0.010801s	1.494931s
3	20000000	8196	0.107760s	0.501563s	0.886548s	0.011401s	1.507271s
4	20000000	8196	0.101570s	0.492931s	0.865139s	0.011275s	1.470916s
0	20000000	20480	0.112013s	0.370593s	0.941306s	0.011237s	1.435149s
1	20000000	20480	0.114295s	0.389508s	0.943808s	0.017992s	1.465603s
2	20000000	20480	0.104914s	0.375287s	0.965455s	0.011375s	1.457032s
3	20000000	20480	0.110883s	0.381661s	0.944565s	0.012257s	1.449367s
4	20000000	20480	0.104185s	0.385025s	0.968856s	0.010421s	1.468488s
0	20000000	40960	0.098997s	0.372430s	1.029511s	0.010904s	1.511842s
1	20000000	40960	0.110043s	0.363805s	1.017464s	0.011093s	1.502405s
2	20000000	40960	0.107756s	0.368697s	1.012919s	0.020119s	1.509491s
3	20000000	40960	0.117773s	0.376624s	1.024926s	0.010188s	1.529510s
4	20000000	40960	0.104716s	0.374626s	1.015550s	0.010704s	1.505597s
0	20000000	81960	0.099992s	0.350085s	1.065539s	0.011095s	1.526711s
1	20000000	81960	0.111082s	0.341289s	1.081239s	0.013681s	1.547291s
2	20000000	81960	0.114747s	0.370894s	1.043530s	0.011547s	1.540718s
3	20000000	81960	0.107983s	0.382283s	1.056121s	0.010281s	1.556668s
4	20000000	81960	0.106935s	0.349506s	1.076473s	0.010667s	1.543581s
0	20000000	204800	0.108058s	0.360987s	1.146336s	0.013484s	1.628865s
1	20000000	204800	0.134686s	0.386721s	1.209305s	0.010899s	1.741612s
2	20000000	204800	0.126890s	0.403953s	1.179072s	0.010887s	1.720802s
3	20000000	204800	0.124205s	0.404071s	1.152465s	0.010310s	1.691052s
4	20000000	204800	0.100713s	0.364458s	1.173362s	0.012433s	1.650966s
0	20000000	409600	0.133252s	0.398319s	1.325014s	0.010210s	1.866795s
1	20000000	409600	0.137626s	0.443166s	1.323536s	0.013585s	1.917912s
2	20000000	409600	0.124141s	0.405945s	1.317185s	0.010753s	1.858024s
3	20000000	409600	0.111505s	0.365986s	1.204597s	0.011406s	1.693493s
4	20000000	409600	0.104491s	0.384711s	1.215083s	0.013388s	1.717673s
0	20000000	819600	0.106672s	0.367051s	1.261555s	0.011511s	1.746788s
1	20000000	819600	0.112511s	0.368423s	1.403520s	0.011309s	1.895763s
2	20000000	819600	0.103474s	0.381059s	1.413082s	0.013608s	1.911223s
3	20000000	819600	0.111112s	0.381472s	1.264864s	0.010768s	1.768215s
4	20000000	819600	0.102760s	0.396554s	1.263172s	0.010967s	1.773452s
