iters	problem_size	bucket_range	time_a	time_b	time_c	time_d	time_e
0	50000000	2048	0.238506s	1.486397s	1.667806s	0.052772s	3.445480s
1	50000000	2048	0.230508s	1.643710s	1.657651s	0.043329s	3.575197s
2	50000000	2048	0.228593s	1.665381s	1.691176s	0.054051s	3.639201s
3	50000000	2048	0.231068s	1.699502s	1.638652s	0.076000s	3.645223s
4	50000000	2048	0.247148s	1.611527s	1.691643s	0.052504s	3.602822s
