iters	scheduling	tab_size	time
1	dynamic,1	200	0m0.010s
2	dynamic,1	200	0m0.019s
3	dynamic,1	200	0m0.021s
4	dynamic,1	200	0m0.013s
5	dynamic,1	200	0m0.024s
6	dynamic,1	200	0m0.010s
7	dynamic,1	200	0m0.009s
8	dynamic,1	200	0m0.012s
9	dynamic,1	200	0m0.020s
0	dynamic,1	2000	0m0.036s
1	dynamic,1	2000	0m0.022s
2	dynamic,1	2000	0m0.022s
3	dynamic,1	2000	0m0.011s
4	dynamic,1	2000	0m0.009s
5	dynamic,1	2000	0m0.031s
6	dynamic,1	2000	0m0.024s
7	dynamic,1	2000	0m0.022s
8	dynamic,1	2000	0m0.015s
9	dynamic,1	2000	0m0.009s
0	dynamic,1	20000	0m0.019s
1	dynamic,1	20000	0m0.012s
2	dynamic,1	20000	0m0.032s
3	dynamic,1	20000	0m0.026s
4	dynamic,1	20000	0m0.014s
5	dynamic,1	20000	0m0.011s
6	dynamic,1	20000	0m0.017s
7	dynamic,1	20000	0m0.010s
8	dynamic,1	20000	0m0.023s
9	dynamic,1	20000	0m0.017s
0	dynamic,1	200000	0m0.026s
1	dynamic,1	200000	0m0.037s
2	dynamic,1	200000	0m0.049s
3	dynamic,1	200000	0m0.022s
4	dynamic,1	200000	0m0.031s
5	dynamic,1	200000	0m0.020s
6	dynamic,1	200000	0m0.020s
7	dynamic,1	200000	0m0.030s
8	dynamic,1	200000	0m0.044s
9	dynamic,1	200000	0m0.019s
0	dynamic,1	2000000	0m0.107s
1	dynamic,1	2000000	0m0.101s
2	dynamic,1	2000000	0m0.087s
3	dynamic,1	2000000	0m0.096s
4	dynamic,1	2000000	0m0.103s
5	dynamic,1	2000000	0m0.090s
6	dynamic,1	2000000	0m0.125s
7	dynamic,1	2000000	0m0.112s
8	dynamic,1	2000000	0m0.113s
9	dynamic,1	2000000	0m0.096s
0	dynamic,1	20000000	0m0.970s
1	dynamic,1	20000000	0m0.976s
2	dynamic,1	20000000	0m0.898s
3	dynamic,1	20000000	0m0.909s
4	dynamic,1	20000000	0m0.954s
5	dynamic,1	20000000	0m0.899s
6	dynamic,1	20000000	0m0.940s
7	dynamic,1	20000000	0m0.855s
8	dynamic,1	20000000	0m0.986s
9	dynamic,1	20000000	0m0.912s
0	dynamic,1	200000000	0m9.314s
1	dynamic,1	200000000	0m9.202s
2	dynamic,1	200000000	0m9.240s
3	dynamic,1	200000000	0m9.225s
4	dynamic,1	200000000	0m9.208s
5	dynamic,1	200000000	0m8.407s
6	dynamic,1	200000000	0m9.364s
7	dynamic,1	200000000	0m9.278s
8	dynamic,1	200000000	0m9.252s
9	dynamic,1	200000000	0m8.880s
0	static,1	2	0m0.007s
1	static,1	2	0m0.003s
2	static,1	2	0m0.002s
3	static,1	2	0m0.002s
4	static,1	2	0m0.002s
5	static,1	2	0m0.002s
6	static,1	2	0m0.002s
7	static,1	2	0m0.003s
8	static,1	2	0m0.002s
9	static,1	2	0m0.003s
0	static,1	20	0m0.003s
1	static,1	20	0m0.002s
2	static,1	20	0m0.013s
3	static,1	20	0m0.019s
4	static,1	20	0m0.021s
5	static,1	20	0m0.015s
6	static,1	20	0m0.010s
7	static,1	20	0m0.013s
8	static,1	20	0m0.019s
9	static,1	20	0m0.020s
0	static,1	200	0m0.017s
1	static,1	200	0m0.017s
2	static,1	200	0m0.016s
3	static,1	200	0m0.019s
4	static,1	200	0m0.010s
5	static,1	200	0m0.014s
6	static,1	200	0m0.016s
7	static,1	200	0m0.011s
8	static,1	200	0m0.018s
9	static,1	200	0m0.011s
0	static,1	2000	0m0.019s
1	static,1	2000	0m0.029s
2	static,1	2000	0m0.021s
3	static,1	2000	0m0.015s
4	static,1	2000	0m0.017s
5	static,1	2000	0m0.023s
6	static,1	2000	0m0.017s
7	static,1	2000	0m0.021s
8	static,1	2000	0m0.023s
9	static,1	2000	0m0.016s
0	static,1	20000	0m0.027s
1	static,1	20000	0m0.020s
2	static,1	20000	0m0.031s
3	static,1	20000	0m0.024s
4	static,1	20000	0m0.019s
