iters	scheduling	tab_size	time
3	dynamic,4096	200000000	0m0.829s
4	dynamic,4096	200000000	0m0.832s
5	dynamic,4096	200000000	0m0.822s
6	dynamic,4096	200000000	0m0.823s
7	dynamic,4096	200000000	0m0.826s
8	dynamic,4096	200000000	0m0.824s
9	dynamic,4096	200000000	0m0.816s
0	static,4096	2	0m0.010s
1	static,4096	2	0m0.008s
2	static,4096	2	0m0.008s
3	static,4096	2	0m0.005s
4	static,4096	2	0m0.002s
5	static,4096	2	0m0.002s
6	static,4096	2	0m0.007s
7	static,4096	2	0m0.007s
8	static,4096	2	0m0.010s
9	static,4096	2	0m0.009s
0	static,4096	20	0m0.008s
1	static,4096	20	0m0.009s
2	static,4096	20	0m0.007s
3	static,4096	20	0m0.002s
4	static,4096	20	0m0.002s
5	static,4096	20	0m0.003s
6	static,4096	20	0m0.002s
7	static,4096	20	0m0.003s
8	static,4096	20	0m0.002s
9	static,4096	20	0m0.003s
0	static,4096	200	0m0.002s
1	static,4096	200	0m0.003s
2	static,4096	200	0m0.002s
3	static,4096	200	0m0.002s
4	static,4096	200	0m0.003s
5	static,4096	200	0m0.002s
6	static,4096	200	0m0.009s
7	static,4096	200	0m0.008s
8	static,4096	200	0m0.002s
9	static,4096	200	0m0.008s
0	static,4096	2000	0m0.008s
1	static,4096	2000	0m0.009s
2	static,4096	2000	0m0.002s
3	static,4096	2000	0m0.002s
4	static,4096	2000	0m0.002s
5	static,4096	2000	0m0.002s
6	static,4096	2000	0m0.002s
7	static,4096	2000	0m0.002s
8	static,4096	2000	0m0.003s
9	static,4096	2000	0m0.002s
0	static,4096	20000	0m0.002s
1	static,4096	20000	0m0.003s
2	static,4096	20000	0m0.002s
3	static,4096	20000	0m0.005s
4	static,4096	20000	0m0.002s
5	static,4096	20000	0m0.003s
6	static,4096	20000	0m0.010s
7	static,4096	20000	0m0.006s
8	static,4096	20000	0m0.009s
9	static,4096	20000	0m0.009s
0	static,4096	200000	0m0.003s
1	static,4096	200000	0m0.003s
2	static,4096	200000	0m0.003s
3	static,4096	200000	0m0.003s
4	static,4096	200000	0m0.004s
5	static,4096	200000	0m0.003s
6	static,4096	200000	0m0.003s
7	static,4096	200000	0m0.003s
8	static,4096	200000	0m0.004s
9	static,4096	200000	0m0.009s
0	static,4096	2000000	0m0.022s
1	static,4096	2000000	0m0.025s
2	static,4096	2000000	0m0.012s
3	static,4096	2000000	0m0.018s
4	static,4096	2000000	0m0.012s
5	static,4096	2000000	0m0.011s
6	static,4096	2000000	0m0.010s
7	static,4096	2000000	0m0.018s
8	static,4096	2000000	0m0.026s
9	static,4096	2000000	0m0.015s
0	static,4096	20000000	0m0.086s
1	static,4096	20000000	0m0.083s
2	static,4096	20000000	0m0.100s
3	static,4096	20000000	0m0.083s
4	static,4096	20000000	0m0.116s
5	static,4096	20000000	0m0.100s
6	static,4096	20000000	0m0.084s
7	static,4096	20000000	0m0.099s
8	static,4096	20000000	0m0.096s
9	static,4096	20000000	0m0.088s
0	static,4096	200000000	0m0.865s
1	static,4096	200000000	0m0.846s
2	static,4096	200000000	0m0.853s
3	static,4096	200000000	0m0.849s
4	static,4096	200000000	0m0.861s
5	static,4096	200000000	0m0.849s
6	static,4096	200000000	0m0.869s
7	static,4096	200000000	0m0.839s
8	static,4096	200000000	0m0.859s
9	static,4096	200000000	0m0.837s
