iters	problem_size	bucket_range	time_a	time_b	time_c	time_d	time_e
0	50000000	64	0.263488s	6.489913s	1.004618s	0.074175s	7.832194s
1	50000000	64	0.246271s	6.172386s	1.023909s	0.075193s	7.517759s
2	50000000	64	0.236602s	6.090166s	1.012585s	0.074506s	7.413859s
3	50000000	64	0.264798s	6.090153s	1.043074s	0.075593s	7.473618s
4	50000000	64	0.251107s	6.117672s	1.033316s	0.077946s	7.480041s
0	50000000	128	0.247673s	5.092357s	1.229630s	0.060499s	6.630159s
1	50000000	128	0.248223s	4.885280s	1.204683s	0.060430s	6.398616s
2	50000000	128	0.270221s	4.911981s	1.243584s	0.058486s	6.484273s
3	50000000	128	0.259385s	4.900068s	1.204810s	0.058497s	6.422760s
4	50000000	128	0.264784s	4.905883s	1.245629s	0.062860s	6.479156s
0	50000000	256	0.272708s	3.259331s	1.392255s	0.057016s	4.981310s
1	50000000	256	0.268081s	3.220507s	1.391600s	0.057330s	4.937518s
2	50000000	256	0.261260s	3.191413s	1.373751s	0.057025s	4.883449s
3	50000000	256	0.271537s	3.228149s	1.416559s	0.056504s	4.972749s
4	50000000	256	0.279797s	3.243560s	1.407750s	0.056491s	4.987598s
0	50000000	512	0.266218s	1.971867s	1.556582s	0.049186s	3.843853s
1	50000000	512	0.261031s	2.053952s	1.568919s	0.049599s	3.933502s
2	50000000	512	0.241334s	1.791349s	1.539086s	0.049485s	3.621253s
3	50000000	512	0.251862s	2.031108s	1.564340s	0.048622s	3.895932s
4	50000000	512	0.254301s	1.989327s	1.525469s	0.049224s	3.818321s
0	50000000	1024	0.258899s	1.458848s	1.760443s	0.045792s	3.523981s
1	50000000	1024	0.255157s	1.409082s	1.782097s	0.044235s	3.490571s
2	50000000	1024	0.264729s	1.472825s	1.681140s	0.046057s	3.464751s
3	50000000	1024	0.262069s	1.376314s	1.717640s	0.045804s	3.401827s
4	50000000	1024	0.269984s	1.345409s	1.846777s	0.167386s	3.629557s
0	50000000	2048	0.352492s	2.597560s	2.052339s	0.042036s	5.044427s
1	50000000	2048	0.253811s	1.421006s	1.958457s	0.039894s	3.673168s
2	50000000	2048	0.271958s	1.479420s	2.019293s	0.041957s	3.812628s
3	50000000	2048	0.250183s	1.278389s	1.931092s	0.043051s	3.502715s
4	50000000	2048	0.261449s	1.176493s	1.854416s	0.037965s	3.330323s
0	50000000	4096	0.246708s	1.055721s	2.052665s	0.036256s	3.391349s
1	50000000	4096	0.242233s	1.133520s	2.007011s	0.036304s	3.419068s
2	50000000	4096	0.262628s	1.076709s	2.044036s	0.036090s	3.419464s
3	50000000	4096	0.271534s	1.050075s	2.015857s	0.036502s	3.373967s
4	50000000	4096	0.242734s	1.068729s	2.106921s	0.037561s	3.455945s
0	50000000	8196	0.253300s	1.271105s	2.242985s	0.034503s	3.801893s
1	50000000	8196	0.254595s	0.960249s	2.242230s	0.034474s	3.491548s
2	50000000	8196	0.256621s	0.986633s	2.243226s	0.041751s	3.528231s
3	50000000	8196	0.310018s	1.024341s	2.253548s	0.052518s	3.640425s
4	50000000	8196	0.265550s	0.956049s	2.233572s	0.034433s	3.489605s
0	50000000	20480	0.258494s	0.739167s	2.395897s	0.049145s	3.442703s
1	50000000	20480	0.406162s	0.929406s	2.606636s	0.060124s	4.002328s
2	50000000	20480	0.348609s	0.791777s	2.429016s	0.051563s	3.620965s
3	50000000	20480	0.268595s	0.732032s	2.395204s	0.049977s	3.445808s
4	50000000	20480	0.247326s	0.697567s	2.438968s	0.049085s	3.432946s
0	50000000	40960	0.249063s	0.542602s	2.535424s	0.036476s	3.363565s
1	50000000	40960	0.270115s	0.521258s	2.545379s	0.035863s	3.372616s
2	50000000	40960	0.253896s	0.538193s	2.515378s	0.034779s	3.342246s
3	50000000	40960	0.265425s	0.536838s	2.534253s	0.034912s	3.371428s
4	50000000	40960	0.263192s	0.540496s	2.460304s	0.034866s	3.298858s
0	50000000	81960	0.244337s	0.476155s	2.599484s	0.033935s	3.353911s
1	50000000	81960	0.249289s	0.475312s	2.595694s	0.033154s	3.353449s
2	50000000	81960	0.256494s	0.469502s	2.604462s	0.034333s	3.364791s
3	50000000	81960	0.261061s	0.451242s	2.576422s	0.033136s	3.321862s
4	50000000	81960	0.258049s	0.456416s	2.625348s	0.033037s	3.372849s
0	50000000	204800	0.245885s	0.448694s	2.788031s	0.032376s	3.514986s
1	50000000	204800	0.248790s	0.451399s	2.801328s	0.036211s	3.537728s
2	50000000	204800	0.265332s	0.501358s	2.860915s	0.033741s	3.661346s
3	50000000	204800	0.271057s	0.451961s	2.888870s	0.035912s	3.647801s
4	50000000	204800	0.258890s	0.456225s	2.855184s	0.033774s	3.604073s
0	50000000	409600	0.265464s	0.481792s	3.020672s	0.034023s	3.801951s
1	50000000	409600	0.255926s	0.492112s	2.970243s	0.031130s	3.749412s
2	50000000	409600	0.256786s	0.475695s	2.953832s	0.031722s	3.718035s
3	50000000	409600	0.268825s	0.492995s	3.082681s	0.034148s	3.878649s
4	50000000	409600	0.273126s	0.480133s	3.124118s	0.031778s	3.909155s
0	50000000	819600	0.273361s	0.495490s	3.157437s	0.029053s	3.955341s
1	50000000	819600	0.292213s	0.537595s	3.164581s	0.027008s	4.021397s
2	50000000	819600	0.272024s	0.468762s	3.083416s	0.028001s	3.852203s
3	50000000	819600	0.272693s	0.523845s	3.128657s	0.026775s	3.951971s
4	50000000	819600	0.280102s	0.449202s	3.163350s	0.027260s	3.919914s
