iters	problem_size	bucket_range	time_a	time_b	time_c	time_d	time_e
0	50000000	64	0.221007s	12.404835s	0.880608s	0.041033s	13.547484s
1	50000000	64	0.236024s	12.825941s	0.906405s	0.041369s	14.009739s
2	50000000	64	0.294278s	13.507813s	0.885771s	0.041106s	14.728968s
3	50000000	64	0.236832s	12.403480s	0.892086s	0.047622s	13.580020s
4	50000000	64	0.235829s	13.398201s	0.947052s	0.040670s	14.621752s
0	50000000	128	0.297678s	10.273193s	1.090274s	0.043665s	11.704811s
1	50000000	128	0.227379s	11.039572s	1.040468s	0.042775s	12.350195s
2	50000000	128	0.258516s	9.987313s	1.037921s	0.047832s	11.331583s
3	50000000	128	0.223462s	10.447959s	1.061604s	0.042822s	11.775846s
4	50000000	128	0.231760s	10.310762s	1.034999s	0.046732s	11.624254s
0	50000000	256	0.268081s	7.397165s	1.183964s	0.036286s	8.885496s
1	50000000	256	0.221922s	8.250596s	1.206667s	0.037789s	9.716974s
2	50000000	256	0.225170s	6.967789s	1.197055s	0.036405s	8.426418s
3	50000000	256	0.284876s	7.048636s	1.169394s	0.044968s	8.547873s
4	50000000	256	0.221788s	7.049625s	1.166936s	0.043098s	8.481448s
0	50000000	512	0.240892s	5.074314s	1.299771s	0.035015s	6.649993s
1	50000000	512	0.239353s	4.684933s	1.330780s	0.040555s	6.295620s
2	50000000	512	0.238197s	4.836323s	1.345882s	0.035756s	6.456158s
3	50000000	512	0.219200s	4.873000s	1.323621s	0.038624s	6.454445s
4	50000000	512	0.235664s	4.974766s	1.434995s	0.042461s	6.687886s
0	50000000	1024	0.241071s	3.749946s	1.485215s	0.036055s	5.512286s
1	50000000	1024	0.216738s	3.319171s	1.493408s	0.039426s	5.068743s
2	50000000	1024	0.229493s	3.478300s	1.494370s	0.040809s	5.242972s
3	50000000	1024	0.230123s	3.216901s	1.444324s	0.034253s	4.925601s
4	50000000	1024	0.221923s	3.135578s	1.433087s	0.038638s	4.829226s
0	50000000	2048	0.221695s	2.075814s	1.612880s	0.031955s	3.942344s
1	50000000	2048	0.227744s	1.991384s	1.577305s	0.039586s	3.836018s
2	50000000	2048	0.220889s	1.974879s	1.576845s	0.042993s	3.815607s
3	50000000	2048	0.224483s	2.181223s	1.567473s	0.039058s	4.012238s
4	50000000	2048	0.215530s	2.159763s	1.602323s	0.032362s	4.009979s
0	50000000	4096	0.215873s	1.719462s	1.732547s	0.036911s	3.704793s
1	50000000	4096	0.221044s	1.690169s	1.682204s	0.031064s	3.624481s
2	50000000	4096	0.217756s	1.784551s	1.689872s	0.031285s	3.723464s
3	50000000	4096	0.215930s	1.688506s	1.708828s	0.031399s	3.644662s
4	50000000	4096	0.224111s	1.700317s	1.705808s	0.036515s	3.666752s
0	50000000	8196	0.222680s	1.449482s	1.837259s	0.031830s	3.541251s
1	50000000	8196	0.222575s	1.349596s	1.884582s	0.032551s	3.489305s
2	50000000	8196	0.216322s	1.387344s	1.888313s	0.029998s	3.521977s
3	50000000	8196	0.217017s	1.353026s	1.845274s	0.039494s	3.454811s
4	50000000	8196	0.212505s	1.391134s	1.840210s	0.034876s	3.478724s
0	50000000	20480	0.217245s	1.082290s	2.034774s	0.028658s	3.362968s
1	50000000	20480	0.226197s	1.039847s	2.026021s	0.045267s	3.337332s
2	50000000	20480	0.225802s	1.075929s	2.010751s	0.030731s	3.343212s
3	50000000	20480	0.216900s	1.070556s	2.032125s	0.036772s	3.356352s
4	50000000	20480	0.223413s	1.054008s	2.051461s	0.037385s	3.366268s
0	50000000	40960	0.216133s	0.851330s	2.203562s	0.030030s	3.301055s
1	50000000	40960	0.218687s	0.857621s	2.196641s	0.033305s	3.306254s
2	50000000	40960	0.244112s	0.837704s	2.144316s	0.029570s	3.255702s
3	50000000	40960	0.214940s	0.857004s	2.142121s	0.034617s	3.248683s
4	50000000	40960	0.221920s	0.825707s	2.139310s	0.037368s	3.224305s
0	50000000	81960	0.215637s	0.793434s	2.263545s	0.031263s	3.303879s
1	50000000	81960	0.219411s	0.780385s	2.343110s	0.029869s	3.372775s
2	50000000	81960	0.215842s	0.801158s	2.257002s	0.036403s	3.310405s
3	50000000	81960	0.246791s	0.785040s	2.298556s	0.030205s	3.360592s
4	50000000	81960	0.215433s	0.775408s	2.294838s	0.030534s	3.316214s
0	50000000	204800	0.213703s	0.785306s	2.444784s	0.033356s	3.477149s
1	50000000	204800	0.219787s	0.775170s	2.487190s	0.030173s	3.512320s
2	50000000	204800	0.216105s	0.771525s	2.482681s	0.029988s	3.500299s
3	50000000	204800	0.218989s	0.781739s	2.448147s	0.036530s	3.485405s
4	50000000	204800	0.217514s	0.766945s	2.459757s	0.037316s	3.481531s
0	50000000	409600	0.221500s	0.766455s	2.615655s	0.035186s	3.638796s
1	50000000	409600	0.225154s	0.756965s	2.595453s	0.035465s	3.613037s
2	50000000	409600	0.244708s	0.816619s	2.622142s	0.029047s	3.712517s
3	50000000	409600	0.219482s	0.778141s	2.608119s	0.029556s	3.635298s
4	50000000	409600	0.234060s	0.819779s	2.645909s	0.029295s	3.729042s
0	50000000	819600	0.218003s	0.768910s	2.729934s	0.031211s	3.748057s
1	50000000	819600	0.222562s	0.871854s	2.712132s	0.029399s	3.835947s
2	50000000	819600	0.219650s	0.838006s	2.770429s	0.029281s	3.857366s
3	50000000	819600	0.221572s	0.758989s	2.708292s	0.029143s	3.717996s
4	50000000	819600	0.241596s	0.770547s	2.848050s	0.034956s	3.895149s
