iters	problem_size	bucket_range	time_a	time_b	time_c	time_d	time_e
0	2000000	1600	0.010158s	0.019627s	0.066922s	0.001609s	0.098315s
1	2000000	1600	0.009497s	0.020222s	0.066342s	0.002270s	0.098332s
2	2000000	1600	0.009618s	0.019671s	0.071240s	0.001526s	0.102054s
3	2000000	1600	0.010525s	0.019529s	0.066248s	0.001788s	0.098091s
4	2000000	1600	0.009346s	0.019580s	0.066413s	0.001750s	0.097088s
5	2000000	1600	0.009865s	0.019390s	0.066082s	0.001513s	0.096851s
6	2000000	1600	0.009577s	0.019516s	0.069423s	0.001498s	0.100014s
7	2000000	1600	0.009473s	0.019493s	0.065902s	0.001496s	0.096364s
8	2000000	1600	0.009714s	0.019509s	0.066032s	0.001640s	0.096896s
9	2000000	1600	0.009445s	0.019476s	0.066199s	0.001531s	0.096651s
0	2000000	3200	0.009351s	0.017940s	0.071569s	0.001384s	0.100245s
1	2000000	3200	0.010617s	0.017890s	0.072417s	0.001354s	0.102279s
2	2000000	3200	0.010000s	0.018138s	0.071628s	0.001637s	0.101402s
3	2000000	3200	0.009476s	0.017831s	0.071532s	0.001360s	0.100199s
4	2000000	3200	0.009955s	0.018141s	0.071603s	0.001397s	0.101097s
5	2000000	3200	0.009507s	0.018212s	0.071749s	0.001349s	0.100818s
6	2000000	3200	0.009527s	0.018276s	0.071460s	0.001358s	0.100621s
7	2000000	3200	0.009531s	0.017886s	0.071715s	0.001654s	0.100786s
8	2000000	3200	0.009396s	0.017946s	0.073379s	0.001347s	0.102068s
9	2000000	3200	0.010024s	0.018254s	0.071950s	0.001420s	0.101648s
