iters	problem_size	bucket_range	threads	time_a	time_b	time_c	time_d	time_e
0	50000000	128	1	0.305848s	6.726498s	1.127918s	0.215688s	8.375952s
1	50000000	128	1	0.222539s	7.587794s	1.124382s	0.350396s	9.285112s
2	50000000	128	1	0.232839s	7.452811s	1.145062s	0.254470s	9.085182s
3	50000000	128	1	0.216260s	6.911341s	1.170604s	0.236779s	8.534985s
4	50000000	128	1	0.224611s	6.829475s	1.135917s	0.258746s	8.448749s
0	100000000	128	2	0.242176s	8.805145s	1.220950s	0.291009s	10.559280s
1	100000000	128	2	0.408369s	9.070575s	1.275531s	0.323237s	11.077712s
2	100000000	128	2	0.296197s	9.139219s	1.230577s	0.456899s	11.122892s
3	100000000	128	2	0.399781s	10.135143s	1.336054s	0.293497s	12.164476s
4	100000000	128	2	0.259217s	9.916079s	1.230557s	0.353237s	11.759090s
0	150000000	128	3	0.298097s	12.154169s	1.380724s	0.451285s	14.284274s
1	150000000	128	3	0.420452s	13.272541s	1.359397s	0.650176s	15.702566s
2	150000000	128	3	0.432466s	13.909701s	1.395796s	0.439214s	16.177177s
3	150000000	128	3	0.375787s	12.304878s	1.537979s	0.421792s	14.640436s
4	150000000	128	3	0.397178s	12.290063s	1.457980s	0.439928s	14.585149s
0	200000000	128	4	0.378140s	15.817823s	1.868132s	0.503958s	18.568053s
1	200000000	128	4	0.627724s	16.399824s	1.916451s	0.578726s	19.522725s
2	200000000	128	4	0.637493s	17.788713s	1.677944s	0.518293s	20.622443s
3	200000000	128	4	0.540657s	16.670620s	1.917553s	0.538450s	19.667280s
4	200000000	128	4	0.822883s	22.824597s	1.597834s	0.542087s	25.787402s
0	250000000	128	5	0.908928s	31.798528s	3.116536s	0.988135s	36.812127s
1	250000000	128	5	1.007366s	29.313139s	1.997748s	0.823914s	33.142167s
2	250000000	128	5	0.777817s	38.725056s	2.135087s	0.803512s	42.441473s
3	250000000	128	5	0.995501s	29.821881s	2.112879s	0.625483s	33.555743s
4	250000000	128	5	0.901209s	29.711903s	1.974571s	0.660060s	33.247742s
0	300000000	128	6	1.224227s	40.457695s	2.407209s	0.755211s	44.844342s
1	300000000	128	6	1.099743s	41.766324s	2.246845s	0.930634s	46.043545s
2	300000000	128	6	0.955885s	39.427137s	2.494172s	0.852711s	43.729905s
3	300000000	128	6	0.892890s	42.590767s	3.358577s	1.292128s	48.134362s
4	300000000	128	6	0.983484s	41.594786s	2.498121s	0.827598s	45.903989s
0	350000000	128	7	1.429459s	50.511363s	2.696933s	1.048861s	55.686616s
1	350000000	128	7	1.111650s	51.835119s	5.232402s	1.636998s	59.816169s
2	350000000	128	7	1.631791s	49.019620s	2.866241s	1.071477s	54.589130s
3	350000000	128	7	1.356165s	49.027936s	2.556583s	0.966503s	53.907188s
4	350000000	128	7	1.266249s	48.360186s	2.703661s	1.309304s	53.639400s
0	400000000	128	8	1.678607s	57.139317s	3.124103s	1.461647s	63.403675s
1	400000000	128	8	1.210226s	81.749863s	3.768700s	1.354648s	88.083437s
2	400000000	128	8	1.407854s	72.351649s	4.079686s	1.334115s	79.173305s
3	400000000	128	8	1.045097s	70.684527s	3.866309s	1.272766s	76.868699s
4	400000000	128	8	1.344801s	75.436325s	4.541097s	1.779423s	83.101646s
