iters	problem_size	bucket_range	threads	time_a	time_b	time_c	time_d	time_e
0	50000000	20480	1	0.286346s	0.693080s	2.042374s	0.056266s	3.078067s
1	50000000	20480	1	0.295554s	0.711505s	2.536606s	0.077656s	3.621321s
2	50000000	20480	1	0.247516s	0.786800s	2.061671s	0.053333s	3.149320s
3	50000000	20480	1	0.251433s	0.634392s	2.059136s	0.054197s	2.999158s
4	50000000	20480	1	0.266198s	0.711966s	2.056380s	0.053409s	3.087953s
0	50000000	20480	2	0.138397s	0.469377s	1.143714s	0.051232s	1.802720s
1	50000000	20480	2	0.126864s	0.549750s	1.086527s	0.065164s	1.828306s
2	50000000	20480	2	0.133941s	0.511332s	1.173770s	0.052921s	1.871964s
3	50000000	20480	2	0.118687s	0.485340s	1.059017s	0.055950s	1.718993s
4	50000000	20480	2	0.174596s	0.456007s	1.093206s	0.051300s	1.775110s
0	50000000	20480	3	0.102909s	0.488542s	0.852900s	0.046092s	1.490444s
1	50000000	20480	3	0.093073s	0.532201s	0.725252s	0.058726s	1.409252s
2	50000000	20480	3	0.104234s	0.801298s	0.877319s	0.053023s	1.835874s
3	50000000	20480	3	0.107249s	0.718245s	0.783133s	0.050180s	1.658807s
4	50000000	20480	3	0.094692s	0.518656s	0.742963s	0.056649s	1.412960s
0	50000000	20480	4	0.093485s	0.623764s	0.693759s	0.074199s	1.485208s
1	50000000	20480	4	0.119560s	0.612012s	0.643542s	0.067576s	1.442690s
2	50000000	20480	4	0.119318s	0.491291s	0.630842s	0.071654s	1.313105s
3	50000000	20480	4	0.118824s	0.465112s	0.653247s	0.056630s	1.293813s
4	50000000	20480	4	0.120036s	0.612890s	0.738862s	0.049528s	1.521315s
0	50000000	20480	5	0.094193s	0.554900s	0.811064s	0.043343s	1.503500s
1	50000000	20480	5	0.092621s	0.519720s	0.751286s	0.041714s	1.405341s
2	50000000	20480	5	0.086415s	0.684181s	0.775972s	0.041713s	1.588282s
3	50000000	20480	5	0.084960s	0.766829s	0.695320s	0.060159s	1.607268s
4	50000000	20480	5	0.118594s	0.502726s	0.738357s	0.049243s	1.408921s
0	50000000	20480	6	0.083041s	0.591602s	0.714581s	0.054284s	1.443508s
1	50000000	20480	6	0.112930s	0.640962s	0.711485s	0.042076s	1.507454s
2	50000000	20480	6	0.091295s	0.647830s	0.647887s	0.039366s	1.426377s
3	50000000	20480	6	0.087025s	0.658519s	0.635764s	0.056729s	1.438038s
4	50000000	20480	6	0.095001s	0.632834s	0.788578s	0.056177s	1.572589s
0	50000000	20480	7	0.095229s	0.691969s	0.725512s	0.048981s	1.561690s
1	50000000	20480	7	0.107477s	0.593672s	0.732877s	0.073956s	1.507982s
2	50000000	20480	7	0.122668s	0.709733s	0.710085s	0.053300s	1.595786s
3	50000000	20480	7	0.102331s	0.735061s	0.680423s	0.067838s	1.585653s
4	50000000	20480	7	0.083118s	0.599332s	0.756928s	0.044649s	1.484027s
0	50000000	20480	8	0.081311s	0.651606s	0.732628s	0.055123s	1.520668s
1	50000000	20480	8	0.144004s	0.886946s	0.718174s	0.044478s	1.793601s
2	50000000	20480	8	0.098673s	0.706184s	0.687871s	0.059841s	1.552569s
3	50000000	20480	8	0.078906s	0.704995s	0.728132s	0.045359s	1.557391s
4	50000000	20480	8	0.080901s	0.788782s	0.711647s	0.043625s	1.624955s
