iters	problem_size	bucket_range	time_a	time_b	time_c	time_d	time_e
0	200000000	64	0.900292s	44.249980s	3.347848s	0.327512s	48.825631s
1	200000000	64	1.167095s	44.088967s	3.336372s	0.308989s	48.901423s
2	200000000	64	0.916608s	45.182562s	3.351579s	0.352245s	49.802993s
3	200000000	64	1.153266s	44.294030s	3.330338s	0.314564s	49.092198s
4	200000000	64	1.298876s	44.229071s	3.359369s	0.344205s	49.231521s
0	200000000	128	1.192366s	43.130832s	3.892730s	0.240542s	48.456470s
1	200000000	128	1.199124s	42.819344s	3.899780s	0.251914s	48.170163s
2	200000000	128	0.970588s	43.213604s	3.908147s	0.252086s	48.344424s
3	200000000	128	0.816559s	43.323087s	3.933256s	0.236643s	48.309546s
4	200000000	128	1.055679s	43.435909s	3.933724s	0.260530s	48.685842s
0	200000000	256	0.918411s	41.154234s	4.446785s	0.213332s	46.732763s
1	200000000	256	
