iters	problem_size	bucket_range	threads	time_a	time_b	time_c	time_d	time_e
0	50000000	524288	1	0.235391s	1.091781s	3.098267s	0.035748s	4.461187s
1	50000000	524288	1	0.286900s	1.116310s	3.078461s	0.036913s	4.518584s
2	50000000	524288	1	0.261284s	1.121875s	3.021191s	0.039928s	4.444278s
3	50000000	524288	1	0.267035s	1.169927s	3.207725s	0.047793s	4.692481s
4	50000000	524288	1	0.243441s	1.211404s	3.028760s	0.042268s	4.525873s
0	50000000	524288	2	0.215746s	1.704468s	1.682087s	0.042997s	3.645297s
1	50000000	524288	2	0.159177s	1.884146s	1.799552s	0.035653s	3.878529s
2	50000000	524288	2	0.171836s	1.840665s	1.700887s	0.044395s	3.757784s
3	50000000	524288	2	0.142647s	1.912949s	1.689437s	0.044313s	3.789346s
4	50000000	524288	2	0.153396s	1.659567s	1.769024s	0.046926s	3.628913s
0	50000000	524288	3	0.219156s	1.835201s	1.391609s	0.040835s	3.486801s
1	50000000	524288	3	0.140809s	2.008254s	1.214464s	0.040223s	3.403750s
2	50000000	524288	3	0.128543s	1.985288s	1.316973s	0.034299s	3.465103s
3	50000000	524288	3	0.145796s	1.987517s	1.235287s	0.044315s	3.412915s
4	50000000	524288	3	0.242106s	1.961947s	1.267990s	0.035084s	3.507128s
0	50000000	524288	4	0.093444s	2.154436s	1.178619s	0.037614s	3.464112s
1	50000000	524288	4	0.175473s	2.350310s	1.127125s	0.041031s	3.693939s
2	50000000	524288	4	0.162963s	2.218715s	1.062828s	0.051300s	3.495806s
3	50000000	524288	4	0.157086s	2.097261s	1.147492s	0.037840s	3.439678s
4	50000000	524288	4	0.148138s	2.297948s	1.353286s	0.035070s	3.834444s
0	50000000	524288	5	0.109882s	1.780948s	1.179649s	0.033872s	3.104351s
1	50000000	524288	5	0.127490s	2.098861s	1.216588s	0.042176s	3.485114s
2	50000000	524288	5	0.112030s	1.827280s	1.187982s	0.035008s	3.162301s
3	50000000	524288	5	0.119250s	1.769429s	1.151294s	0.038023s	3.077996s
4	50000000	524288	5	0.139774s	1.758849s	1.288445s	0.035006s	3.222074s
0	50000000	524288	6	0.133002s	1.867910s	1.062026s	0.040490s	3.103428s
1	50000000	524288	6	0.192291s	2.031728s	1.155517s	0.038089s	3.417624s
2	50000000	524288	6	0.136966s	1.810745s	1.136737s	0.033624s	3.118072s
3	50000000	524288	6	0.096782s	1.950633s	1.767373s	0.040071s	3.854859s
4	50000000	524288	6	0.138801s	3.051264s	2.101432s	0.053581s	5.345078s
0	50000000	524288	7	0.231125s	2.552769s	1.661597s	0.044035s	4.489527s
1	50000000	524288	7	0.198733s	1.811632s	1.448795s	0.044682s	3.503842s
2	50000000	524288	7	0.237555s	2.289722s	1.481077s	0.040644s	4.048998s
3	50000000	524288	7	0.162610s	2.328153s	1.434496s	0.045557s	3.970816s
4	50000000	524288	7	0.253724s	3.425905s	2.036928s	0.051417s	5.767974s
0	50000000	524288	8	0.253835s	3.671767s	1.903459s	0.045406s	5.874466s
1	50000000	524288	8	0.220927s	2.784540s	1.920185s	0.048170s	4.973822s
2	50000000	524288	8	0.208676s	2.454008s	1.371763s	0.037844s	4.072291s
3	50000000	524288	8	0.136813s	1.830966s	1.250857s	0.034898s	3.253534s
4	50000000	524288	8	0.112407s	2.307112s	1.026361s	0.049179s	3.495059s
