iters	problem_size	bucket_range	threads	time_a	time_b	time_c	time_d	time_e
0	50000000	128	1	0.252996s	9.483514s	1.224532s	0.278645s	11.239687s
1	50000000	128	1	0.334849s	9.224349s	1.240524s	0.328275s	11.127996s
2	50000000	128	1	0.251627s	9.183737s	1.277976s	0.330717s	11.044058s
3	50000000	128	1	0.256355s	9.085656s	1.237152s	0.449133s	11.028297s
4	50000000	128	1	0.275766s	9.069215s	1.288102s	0.322267s	10.955350s
0	50000000	128	2	0.144039s	4.429259s	0.735172s	0.140247s	5.448716s
1	50000000	128	2	0.220266s	4.986070s	0.681410s	0.143846s	6.031592s
2	50000000	128	2	0.172815s	4.372440s	0.675347s	0.212412s	5.433014s
3	50000000	128	2	0.148713s	4.268550s	0.689837s	0.146876s	5.253976s
4	50000000	128	2	0.133698s	4.121674s	0.725118s	0.119769s	5.100259s
0	50000000	128	3	0.095332s	3.238424s	0.513847s	0.116415s	3.964018s
1	50000000	128	3	0.116147s	3.458673s	0.432695s	0.119189s	4.126704s
2	50000000	128	3	0.144006s	3.536019s	0.588031s	0.127981s	4.396037s
3	50000000	128	3	0.140012s	3.354986s	0.533235s	0.145062s	4.173295s
4	50000000	128	3	0.156515s	3.261221s	0.533255s	0.141737s	4.092729s
0	50000000	128	4	0.122997s	3.011082s	0.473601s	0.115577s	3.723257s
1	50000000	128	4	0.123120s	3.189484s	0.592114s	0.107005s	4.011722s
2	50000000	128	4	0.109798s	3.602873s	0.483799s	0.102359s	4.298830s
3	50000000	128	4	0.091216s	2.833428s	0.558847s	0.112304s	3.595795s
4	50000000	128	4	0.167079s	2.816347s	0.597183s	0.149626s	3.730236s
0	50000000	128	5	0.116841s	4.666638s	0.473534s	0.101611s	5.358623s
1	50000000	128	5	0.136902s	4.096314s	0.490001s	0.148221s	4.871439s
2	50000000	128	5	0.153738s	4.566478s	0.422650s	0.111380s	5.254246s
3	50000000	128	5	0.133635s	4.254455s	0.466311s	0.098456s	4.952857s
4	50000000	128	5	0.116181s	4.252096s	0.465212s	0.140424s	4.973913s
0	50000000	128	6	0.095660s	5.558491s	0.385303s	0.128954s	6.168409s
1	50000000	128	6	0.135430s	5.346351s	0.532961s	0.100419s	6.115162s
2	50000000	128	6	0.090809s	4.855555s	0.454743s	0.100930s	5.502037s
3	50000000	128	6	0.106462s	5.825213s	0.541171s	0.137327s	6.610172s
4	50000000	128	6	0.163107s	4.827534s	0.613824s	0.135621s	5.740086s
0	50000000	128	7	0.091871s	5.608824s	0.535033s	0.103058s	6.338787s
1	50000000	128	7	0.095037s	5.130800s	0.494269s	0.087886s	5.807992s
2	50000000	128	7	0.091813s	5.426623s	0.527296s	0.098677s	6.144410s
3	50000000	128	7	0.117701s	5.604867s	0.463416s	0.114203s	6.300187s
4	50000000	128	7	0.185608s	5.618756s	0.485569s	0.119477s	6.409410s
0	50000000	128	8	0.117946s	5.996414s	0.382355s	0.143228s	6.639942s
1	50000000	128	8	0.124774s	5.472241s	0.636622s	0.147588s	6.381224s
2	50000000	128	8	0.167565s	6.336689s	0.582166s	0.110041s	7.196462s
3	50000000	128	8	0.104235s	5.555381s	0.410335s	0.154318s	6.224268s
4	50000000	128	8	0.186910s	5.528329s	0.508151s	0.091992s	6.315382s
