iters	problem_size	bucket_range	time_a	time_b	time_c	time_d	time_e
0	50000000	1639200	0.278555s	0.502997s	3.901625s	0.038830s	4.722007s
1	50000000	1639200	0.315423s	0.513027s	3.408684s	0.042529s	4.279662s
2	50000000	1639200	0.262122s	0.454069s	3.457887s	0.036313s	4.210392s
3	50000000	1639200	0.267540s	0.468036s	3.308682s	0.036629s	4.080888s
4	50000000	1639200	0.260802s	0.411449s	3.201648s	0.042415s	3.916313s
0	50000000	3278400	0.261871s	0.432445s	3.401841s	0.035294s	4.131451s
1	50000000	3278400	0.237022s	0.401718s	4.072101s	0.053745s	4.764586s
2	50000000	3278400	0.293755s	0.439565s	3.566917s	0.039563s	4.339800s
3	50000000	3278400	0.247904s	0.524199s	3.488749s	0.044204s	4.305056s
4	50000000	3278400	0.264332s	0.443460s	3.579675s	0.035270s	4.322738s
0	50000000	6556800	0.259444s	0.450484s	3.785346s	0.036727s	4.532001s
1	50000000	6556800	0.386608s	0.474359s	3.970624s	0.074561s	4.906151s
2	50000000	6556800	0.260873s	0.611738s	3.734335s	0.037343s	4.644289s
3	50000000	6556800	0.349126s	0.517849s	4.126516s	0.039844s	5.033335s
4	50000000	6556800	0.264924s	0.462882s	3.767023s	0.042662s	4.537491s
