iters	problem_size	bucket_range	threads	time_a	time_b	time_c	time_d	time_e
0	50000000	128	1	0.252762s	11.607650s	1.360192s	0.121765s	13.342369s
1	50000000	128	1	0.330557s	12.236725s	1.411794s	0.110100s	14.089176s
2	50000000	128	1	0.249101s	12.050819s	1.192537s	0.113167s	13.605624s
3	50000000	128	1	0.278936s	9.374435s	1.175155s	0.121441s	10.949967s
4	50000000	128	1	0.241170s	9.106290s	1.133329s	0.088792s	10.569581s
0	50000000	128	2	0.132222s	5.504129s	0.620834s	0.053270s	6.310455s
1	50000000	128	2	0.182244s	5.709772s	0.608572s	0.063079s	6.563667s
2	50000000	128	2	0.147970s	5.640619s	0.615966s	0.091515s	6.496069s
3	50000000	128	2	0.130572s	5.699025s	0.589096s	0.051954s	6.470646s
4	50000000	128	2	0.147851s	5.431534s	0.572998s	0.085306s	6.237689s
0	50000000	128	3	0.088372s	4.497067s	0.489903s	0.047028s	5.122370s
1	50000000	128	3	0.125728s	4.435716s	0.453991s	0.059211s	5.074647s
2	50000000	128	3	0.122503s	4.438948s	0.393431s	0.056054s	5.010936s
3	50000000	128	3	0.106089s	4.248456s	0.404182s	0.073010s	4.831738s
4	50000000	128	3	0.096482s	4.497397s	0.491298s	0.044519s	5.129696s
0	50000000	128	4	0.175436s	3.887739s	0.341380s	0.089960s	4.494516s
1	50000000	128	4	0.112334s	3.590938s	0.537623s	0.050945s	4.291841s
2	50000000	128	4	0.081879s	3.836775s	0.434617s	0.050655s	4.403927s
3	50000000	128	4	0.102531s	4.549370s	0.414744s	0.043509s	5.110153s
4	50000000	128	4	0.081587s	3.799509s	0.481595s	0.088667s	4.451358s
0	50000000	128	5	0.087287s	4.082443s	0.379433s	0.053027s	4.602189s
1	50000000	128	5	0.106973s	3.826434s	0.396740s	0.045638s	4.375785s
2	50000000	128	5	0.090975s	4.063103s	0.509723s	0.067928s	4.731728s
3	50000000	128	5	0.105772s	4.205831s	0.515212s	0.043844s	4.870660s
4	50000000	128	5	0.085411s	4.172758s	0.470058s	0.077597s	4.805824s
0	50000000	128	6	0.088009s	4.167095s	0.381512s	0.046001s	4.682618s
1	50000000	128	6	0.098534s	3.948243s	0.426341s	0.069245s	4.542363s
2	50000000	128	6	0.089333s	4.091680s	0.376445s	0.053468s	4.610926s
3	50000000	128	6	0.089635s	3.940059s	0.334180s	0.046466s	4.410340s
4	50000000	128	6	0.087343s	4.147222s	0.443802s	0.044310s	4.722676s
0	50000000	128	7	0.085007s	4.443585s	0.353227s	0.042431s	4.924251s
1	50000000	128	7	0.082563s	5.428155s	0.459517s	0.058206s	6.028441s
2	50000000	128	7	0.116972s	4.411552s	0.470004s	0.076354s	5.074882s
3	50000000	128	7	0.087177s	4.570777s	0.557115s	0.044850s	5.259919s
4	50000000	128	7	0.107646s	4.419348s	0.336578s	0.051145s	4.914717s
0	50000000	128	8	0.185534s	4.054034s	0.485321s	0.056026s	4.780915s
1	50000000	128	8	0.094556s	4.105977s	0.447655s	0.043553s	4.691740s
2	50000000	128	8	0.077944s	4.407922s	0.535701s	0.046555s	5.068123s
3	50000000	128	8	0.128560s	4.667063s	0.665719s	0.046691s	5.508032s
4	50000000	128	8	0.083337s	4.099423s	0.459390s	0.057766s	4.699916s
