iters	problem_size	bucket_range	time_a	time_b	time_c	time_d	time_e
0	20000000	64	0.084776s	1.685955s	0.365280s	0.030314s	2.166325s
1	20000000	64	0.080187s	1.723443s	0.332319s	0.031698s	2.167646s
2	20000000	64	0.079985s	1.743967s	0.337931s	0.031570s	2.193454s
3	20000000	64	0.080509s	1.850318s	0.337648s	0.030057s	2.298531s
4	20000000	64	0.079529s	1.777205s	0.332856s	0.030988s	2.220577s
0	20000000	128	0.081659s	1.179179s	0.395075s	0.024976s	1.680889s
1	20000000	128	0.082339s	1.101350s	0.408516s	0.024297s	1.616501s
2	20000000	128	0.080362s	1.236200s	0.388004s	0.025375s	1.729941s
3	20000000	128	0.080918s	1.119004s	0.396166s	0.027451s	1.623538s
4	20000000	128	0.081382s	1.150602s	0.393343s	0.023580s	1.648907s
0	20000000	256	0.080941s	0.671812s	0.455448s	0.022007s	1.230208s
1	20000000	256	0.085577s	0.695195s	0.471578s	0.021350s	1.273700s
2	20000000	256	0.080833s	0.667308s	0.450666s	0.021394s	1.220200s
3	20000000	256	0.083912s	0.654655s	0.451004s	0.036769s	1.226340s
4	20000000	256	0.103443s	0.680476s	0.445519s	0.021768s	1.251206s
0	20000000	512	0.081672s	0.387980s	0.558736s	0.022484s	1.050871s
1	20000000	512	0.081995s	0.399719s	0.496603s	0.019707s	0.998025s
2	20000000	512	0.083085s	0.395320s	0.508091s	0.022578s	1.009074s
3	20000000	512	0.084082s	0.404130s	0.529468s	0.020673s	1.038353s
4	20000000	512	0.083125s	0.642894s	0.493685s	0.018890s	1.238593s
0	20000000	1024	0.082476s	0.384359s	0.541161s	0.017205s	1.025200s
1	20000000	1024	0.080004s	0.373409s	0.544737s	0.019660s	1.017810s
2	20000000	1024	0.079876s	0.386445s	0.547538s	0.017189s	1.031048s
3	20000000	1024	0.079729s	0.344230s	0.551803s	0.018091s	0.993854s
4	20000000	1024	0.079271s	0.341259s	0.547391s	0.017593s	0.985513s
0	20000000	2048	0.079203s	0.298504s	0.588345s	0.015476s	0.981527s
1	20000000	2048	0.080407s	0.302754s	0.588290s	0.017359s	0.988809s
2	20000000	2048	0.081996s	0.362744s	0.587800s	0.023831s	1.056372s
3	20000000	2048	0.083681s	0.305372s	0.602381s	0.015088s	1.006522s
4	20000000	2048	0.079258s	0.298889s	0.592246s	0.015289s	0.985683s
0	20000000	4096	0.080371s	0.261679s	0.644353s	0.014137s	1.000541s
1	20000000	4096	0.079845s	0.262915s	0.637013s	0.015704s	0.995478s
2	20000000	4096	0.086690s	0.269783s	0.637964s	0.013785s	1.008223s
3	20000000	4096	0.079068s	0.270078s	0.642377s	0.014455s	1.005979s
4	20000000	4096	0.080045s	0.266057s	0.650395s	0.015325s	1.011821s
0	20000000	8196	0.079111s	0.216159s	0.692999s	0.014851s	1.003120s
1	20000000	8196	0.079786s	0.215300s	0.698139s	0.015034s	1.008259s
2	20000000	8196	0.080363s	0.220707s	0.695173s	0.015344s	1.011586s
3	20000000	8196	0.083544s	0.212706s	0.724356s	0.014846s	1.035452s
4	20000000	8196	0.081130s	0.223680s	0.688227s	0.014178s	1.007215s
0	20000000	20480	0.080401s	0.162872s	0.773025s	0.017314s	1.033612s
1	20000000	20480	0.080634s	0.158209s	0.758257s	0.018905s	1.016005s
2	20000000	20480	0.079355s	0.162375s	0.759718s	0.019114s	1.020562s
3	20000000	20480	0.083393s	0.158998s	0.762728s	0.017764s	1.022882s
4	20000000	20480	0.081225s	0.156473s	0.761579s	0.021454s	1.020731s
0	20000000	40960	0.083329s	0.156769s	0.804383s	0.014625s	1.059106s
1	20000000	40960	0.083911s	0.155515s	0.803899s	0.018056s	1.061381s
2	20000000	40960	0.081654s	0.158291s	0.816634s	0.015844s	1.072423s
3	20000000	40960	0.081572s	0.153037s	0.814963s	0.014187s	1.063760s
4	20000000	40960	0.079552s	0.148863s	0.810957s	0.014038s	1.053411s
0	20000000	81960	0.080689s	0.150144s	0.862238s	0.013634s	1.106705s
1	20000000	81960	0.080513s	0.146816s	0.866295s	0.013427s	1.107051s
2	20000000	81960	0.080625s	0.146069s	0.862073s	0.014007s	1.102775s
3	20000000	81960	0.080627s	0.150678s	0.862466s	0.014046s	1.107817s
4	20000000	81960	0.078763s	0.158151s	0.862967s	0.013575s	1.113457s
0	20000000	204800	0.079271s	0.155084s	0.930511s	0.021301s	1.186167s
1	20000000	204800	0.087773s	0.147580s	0.936737s	0.014880s	1.186969s
2	20000000	204800	0.080249s	0.144800s	0.929995s	0.013586s	1.168628s
3	20000000	204800	0.080815s	0.146671s	0.923592s	0.012746s	1.163825s
4	20000000	204800	0.080507s	0.146422s	0.934609s	0.012961s	1.174499s
0	20000000	409600	0.079457s	0.149540s	0.970570s	0.011865s	1.211432s
1	20000000	409600	0.080440s	0.158780s	0.998974s	0.012325s	1.250518s
2	20000000	409600	0.080529s	0.159189s	0.975708s	0.012549s	1.227974s
3	20000000	409600	0.080344s	0.153762s	0.972279s	0.012540s	1.218925s
4	20000000	409600	0.079877s	0.157702s	0.980551s	0.014033s	1.232162s
0	20000000	819600	0.082319s	0.156779s	1.036958s	0.013146s	1.289203s
1	20000000	819600	0.080626s	0.156600s	1.029515s	0.011855s	1.278596s
2	20000000	819600	0.081182s	0.151572s	1.031920s	0.011857s	1.276530s
3	20000000	819600	0.078384s	0.157193s	1.023626s	0.012203s	1.271406s
4	20000000	819600	0.079820s	0.153725s	1.031328s	0.013537s	1.278410s
