iters	problem_size	bucket_range	threads	time_a	time_b	time_c	time_d	time_e
0	50000000	20480	1	0.244511s	0.627036s	2.309512s	0.070862s	3.251921s
1	50000000	20480	1	0.233439s	0.615830s	2.092329s	0.059466s	3.001064s
2	50000000	20480	1	0.222339s	0.616824s	2.030462s	0.065140s	2.934766s
3	50000000	20480	1	0.220201s	0.612826s	2.038024s	0.051751s	2.922802s
4	50000000	20480	1	0.246659s	0.635250s	2.000883s	0.057340s	2.940132s
0	100000000	20480	2	0.277649s	1.050375s	2.277165s	0.106762s	3.711951s
1	100000000	20480	2	0.258877s	1.076541s	2.130352s	0.102808s	3.568578s
2	100000000	20480	2	0.319054s	1.032498s	2.195816s	0.105326s	3.652694s
3	100000000	20480	2	0.269033s	0.991220s	2.216597s	0.093817s	3.570667s
4	100000000	20480	2	0.250980s	0.968916s	2.228929s	0.099172s	3.547997s
0	150000000	20480	3	0.385854s	1.687926s	2.481461s	0.142542s	4.697784s
1	150000000	20480	3	0.325918s	1.574549s	2.290414s	0.233639s	4.424520s
2	150000000	20480	3	0.312214s	1.818080s	2.360651s	0.139846s	4.630790s
3	150000000	20480	3	0.368688s	1.933475s	2.336710s	0.153822s	4.792694s
4	150000000	20480	3	0.295220s	1.707425s	2.323970s	0.152246s	4.478861s
0	200000000	20480	4	0.387674s	2.473029s	2.629518s	0.189871s	5.680092s
1	200000000	20480	4	0.425802s	2.630974s	2.708175s	0.196868s	5.961818s
2	200000000	20480	4	0.314874s	2.492830s	2.592701s	0.317517s	5.717923s
3	200000000	20480	4	0.422152s	2.434887s	2.845301s	0.254238s	5.956578s
4	200000000	20480	4	0.425068s	2.278215s	2.811105s	0.216815s	5.731203s
0	250000000	20480	5	0.483818s	3.155811s	3.611563s	0.258370s	7.509562s
1	250000000	20480	5	0.459445s	3.595179s	3.840517s	0.251092s	8.146234s
2	250000000	20480	5	0.971780s	3.801763s	3.842631s	0.246483s	8.862658s
3	250000000	20480	5	1.074257s	4.728522s	3.620736s	0.395056s	9.818571s
4	250000000	20480	5	1.004656s	4.304723s	3.876313s	0.236581s	9.422273s
0	300000000	20480	6	0.487422s	4.194609s	5.204796s	0.332876s	10.219703s
1	300000000	20480	6	0.876346s	4.973939s	4.863366s	0.358541s	11.072192s
2	300000000	20480	6	0.798280s	4.308669s	4.306813s	0.281266s	9.695028s
3	300000000	20480	6	0.915149s	4.786671s	4.340221s	0.369768s	10.411809s
4	300000000	20480	6	0.598507s	4.666212s	4.053342s	0.289864s	9.607925s
0	350000000	20480	7	1.283175s	6.282268s	6.099451s	0.402947s	14.067841s
1	350000000	20480	7	1.267195s	6.342638s	4.973498s	0.341833s	12.925163s
2	350000000	20480	7	0.898513s	6.335946s	5.274318s	0.377586s	12.886363s
3	350000000	20480	7	1.404136s	6.744615s	4.762291s	0.314577s	13.225618s
4	350000000	20480	7	1.189540s	5.839321s	4.679550s	0.357839s	12.066250s
0	400000000	20480	8	1.262243s	7.071261s	6.494575s	0.554328s	15.382407s
1	400000000	20480	8	1.678366s	8.050995s	5.367133s	0.515714s	15.612208s
2	400000000	20480	8	1.246789s	8.018982s	5.396978s	0.434655s	15.097403s
3	400000000	20480	8	1.362881s	7.791944s	5.808151s	0.553953s	15.516929s
4	400000000	20480	8	1.136901s	8.131217s	5.398496s	0.502602s	15.169216s
