iters	problem_size	bucket_range	threads	time_a	time_b	time_c	time_d	time_e
0	50000000	40960	1	0.235008s	0.930227s	2.121432s	0.029760s	3.316428s
1	50000000	40960	1	0.219815s	0.901676s	2.143287s	0.043268s	3.308046s
2	50000000	40960	1	0.220525s	0.832551s	2.161880s	0.034420s	3.249375s
3	50000000	40960	1	0.224254s	0.928874s	2.385797s	0.047451s	3.586376s
4	50000000	40960	1	0.215305s	0.863278s	2.216903s	0.041210s	3.336696s
0	50000000	40960	2	0.214730s	1.102427s	1.143268s	0.029837s	2.490263s
1	50000000	40960	2	0.135468s	1.249624s	1.153291s	0.032742s	2.571125s
2	50000000	40960	2	0.122985s	1.101437s	1.173204s	0.030588s	2.428214s
3	50000000	40960	2	0.130168s	1.205117s	1.131623s	0.033013s	2.499922s
4	50000000	40960	2	0.120496s	1.178345s	1.152092s	0.034052s	2.484985s
0	50000000	40960	3	0.091723s	1.204125s	0.873154s	0.037274s	2.206275s
1	50000000	40960	3	0.144213s	1.240750s	0.896623s	0.037496s	2.319082s
2	50000000	40960	3	0.105084s	1.237502s	1.162102s	0.027990s	2.532678s
3	50000000	40960	3	0.099120s	1.236145s	0.857137s	0.036229s	2.228631s
4	50000000	40960	3	0.121168s	1.128396s	0.965377s	0.029293s	2.244233s
0	50000000	40960	4	0.089110s	1.224603s	0.809859s	0.036332s	2.159904s
1	50000000	40960	4	0.090169s	1.217396s	0.807937s	0.028207s	2.143709s
2	50000000	40960	4	0.092491s	1.475648s	0.811449s	0.033088s	2.412676s
3	50000000	40960	4	0.091560s	1.272643s	0.672663s	0.029346s	2.066212s
4	50000000	40960	4	0.082353s	1.422808s	0.695657s	0.030279s	2.231098s
0	50000000	40960	5	0.114102s	1.137636s	0.979530s	0.029835s	2.261103s
1	50000000	40960	5	0.092928s	1.117843s	0.860981s	0.036340s	2.108092s
2	50000000	40960	5	0.110871s	1.122462s	0.791146s	0.034415s	2.058894s
3	50000000	40960	5	0.092799s	1.176617s	0.824033s	0.027579s	2.121027s
4	50000000	40960	5	0.087622s	1.354592s	0.732031s	0.033843s	2.208087s
0	50000000	40960	6	0.137268s	1.084884s	0.730073s	0.026666s	1.978891s
1	50000000	40960	6	0.114544s	1.116404s	0.988523s	0.029413s	2.248884s
2	50000000	40960	6	0.091440s	1.230907s	0.694855s	0.033606s	2.050809s
3	50000000	40960	6	0.125049s	1.058888s	0.763757s	0.029016s	1.976710s
4	50000000	40960	6	0.114094s	1.211422s	0.748052s	0.031718s	2.105286s
0	50000000	40960	7	0.114309s	1.100467s	0.700214s	0.028923s	1.943913s
1	50000000	40960	7	0.100581s	1.164725s	1.028215s	0.028531s	2.322051s
2	50000000	40960	7	0.082790s	1.158620s	0.754382s	0.030824s	2.026615s
3	50000000	40960	7	0.087993s	1.114280s	0.757266s	0.030334s	1.989874s
4	50000000	40960	7	0.097180s	1.256546s	0.859040s	0.027721s	2.240488s
0	50000000	40960	8	0.081982s	1.113736s	0.791299s	0.030186s	2.017202s
1	50000000	40960	8	0.080770s	1.099693s	0.858173s	0.028751s	2.067387s
2	50000000	40960	8	0.075475s	1.086400s	0.814382s	0.028143s	2.004401s
3	50000000	40960	8	0.091454s	1.149686s	0.686090s	0.029330s	1.956561s
4	50000000	40960	8	0.124434s	1.154001s	0.771322s	0.033414s	2.083171s
