iters	problem_size	bucket_range	time_a	time_b	time_c	time_d	time_e
0	50000000	64	0.240466s	7.388156s	0.840450s	0.083152s	8.552224s
1	50000000	64	0.207067s	7.245704s	0.835764s	0.076044s	8.364579s
2	50000000	64	0.207708s	7.315281s	0.840778s	0.091889s	8.455656s
3	50000000	64	0.216525s	6.908165s	0.838244s	0.097456s	8.060389s
4	50000000	64	0.242530s	7.251798s	0.836360s	0.074735s	8.405422s
0	50000000	128	0.211131s	5.993084s	0.985076s	0.061060s	7.250351s
1	50000000	128	0.203790s	8.568280s	1.099902s	0.066760s	9.938733s
2	50000000	128	0.246127s	8.637739s	1.105518s	0.063390s	10.052774s
3	50000000	128	0.239624s	7.840846s	1.039196s	0.077392s	9.197057s
4	50000000	128	0.213681s	7.774227s	1.038264s	0.062603s	9.088774s
0	50000000	256	0.229183s	5.729108s	1.170194s	0.057814s	7.186299s
1	50000000	256	0.237654s	5.895662s	1.200158s	0.056606s	7.390080s
2	50000000	256	0.233874s	5.738732s	1.179698s	0.070580s	7.222884s
3	50000000	256	0.211885s	9.472721s	1.233710s	0.086976s	11.005292s
4	50000000	256	0.221115s	7.307435s	1.255137s	0.059855s	8.843542s
0	50000000	512	0.227036s	4.266828s	1.314020s	0.056129s	5.864013s
1	50000000	512	0.244440s	3.893780s	1.342993s	0.050563s	5.531775s
2	50000000	512	0.215234s	4.992791s	1.446564s	0.073934s	6.728523s
3	50000000	512	0.241283s	3.585266s	1.360868s	0.058496s	5.245914s
4	50000000	512	0.223148s	3.644279s	1.321315s	0.056628s	5.245370s
0	50000000	1024	0.216140s	2.448635s	1.436413s	0.063743s	4.164932s
1	50000000	1024	0.233910s	2.256958s	1.437377s	0.050749s	3.978995s
2	50000000	1024	0.255976s	2.283907s	1.481087s	0.051968s	4.072938s
3	50000000	1024	0.231059s	2.233703s	2.305711s	0.086313s	4.856786s
4	50000000	1024	0.308686s	2.472501s	1.592581s	0.049641s	4.423410s
0	50000000	2048	0.238506s	1.486397s	1.667806s	0.052772s	3.445480s
1	50000000	2048	0.230508s	1.643710s	1.657651s	0.043329s	3.575197s
2	50000000	2048	0.228593s	1.665381s	1.691176s	0.054051s	3.639201s
3	50000000	2048	0.231068s	1.699502s	1.638652s	0.076000s	3.645223s
4	50000000	2048	0.247148s	1.611527s	1.691643s	0.052504s	3.602822s
0	50000000	4096	0.214422s	1.356184s	1.834468s	0.039403s	3.444477s
1	50000000	4096	0.215992s	1.160018s	1.775460s	0.038780s	3.190251s
2	50000000	4096	0.210203s	1.121705s	1.883008s	0.077757s	3.292673s
3	50000000	4096	0.241106s	1.067330s	1.729597s	0.040409s	3.078442s
4	50000000	4096	0.239004s	1.055399s	1.689574s	0.082549s	3.066526s
0	50000000	8196	0.291505s	1.190199s	1.916709s	0.041367s	3.439780s
1	50000000	8196	0.225894s	0.929554s	1.875284s	0.037724s	3.068456s
2	50000000	8196	0.210169s	0.948054s	2.015522s	0.044488s	3.218233s
3	50000000	8196	0.242617s	0.911467s	2.060718s	0.039268s	3.254069s
4	50000000	8196	0.239625s	1.109765s	2.083170s	0.059152s	3.491711s
0	50000000	20480	0.221257s	0.644953s	2.092905s	0.054285s	3.013400s
1	50000000	20480	0.258139s	0.687078s	2.296276s	0.069841s	3.311334s
2	50000000	20480	0.245206s	0.694106s	2.201404s	0.051288s	3.192004s
3	50000000	20480	0.227802s	0.614624s	2.061516s	0.048405s	2.952348s
4	50000000	20480	0.212855s	0.610134s	2.091178s	0.052782s	2.966949s
0	50000000	40960	0.217975s	0.496471s	2.195619s	0.039669s	2.949735s
1	50000000	40960	0.214317s	0.457643s	2.555348s	0.057432s	3.284741s
2	50000000	40960	0.255743s	0.485519s	2.408724s	0.040914s	3.190901s
3	50000000	40960	0.227839s	0.466479s	2.293205s	0.058443s	3.045966s
4	50000000	40960	0.249956s	0.468093s	2.501100s	0.067219s	3.286367s
0	50000000	81960	0.252685s	0.431866s	2.352491s	0.049265s	3.086306s
1	50000000	81960	0.264493s	0.404727s	2.437007s	0.044686s	3.150913s
2	50000000	81960	0.219253s	0.469387s	2.361692s	0.043767s	3.094099s
3	50000000	81960	0.210675s	0.511972s	2.356725s	0.047099s	3.126471s
4	50000000	81960	0.230826s	0.508414s	2.667572s	0.069452s	3.476264s
0	50000000	204800	0.231029s	0.463906s	2.622046s	0.040631s	3.357611s
1	50000000	204800	0.221512s	0.436533s	2.587003s	0.040989s	3.286037s
2	50000000	204800	0.266167s	0.431832s	2.759293s	0.038382s	3.495674s
3	50000000	204800	0.217275s	0.459589s	2.568017s	0.036645s	3.281526s
4	50000000	204800	0.230881s	0.418858s	2.693485s	0.051636s	3.394859s
0	50000000	409600	0.230366s	0.442347s	2.842987s	0.056545s	3.572245s
1	50000000	409600	0.282171s	0.464533s	2.810631s	0.055618s	3.612953s
2	50000000	409600	0.336566s	0.416386s	2.769998s	0.034833s	3.557783s
3	50000000	409600	0.245545s	0.417750s	2.800749s	0.037175s	3.501218s
4	50000000	409600	0.236519s	0.509980s	2.736810s	0.044878s	3.528187s
0	50000000	819600	0.235961s	0.410957s	2.838043s	0.032451s	3.517411s
1	50000000	819600	0.216401s	0.438206s	2.976757s	0.032872s	3.664236s
2	50000000	819600	0.211914s	0.398400s	3.214912s	0.037832s	3.863057s
3	50000000	819600	0.225694s	0.438408s	3.265808s	0.031315s	3.961225s
4	50000000	819600	0.239572s	0.442111s	2.840341s	0.041030s	3.563055s
0	50000000	1639200	0.278555s	0.502997s	3.901625s	0.038830s	4.722007s
1	50000000	1639200	0.315423s	0.513027s	3.408684s	0.042529s	4.279662s
2	50000000	1639200	0.262122s	0.454069s	3.457887s	0.036313s	4.210392s
3	50000000	1639200	0.267540s	0.468036s	3.308682s	0.036629s	4.080888s
4	50000000	1639200	0.260802s	0.411449s	3.201648s	0.042415s	3.916313s
0	50000000	3278400	0.261871s	0.432445s	3.401841s	0.035294s	4.131451s
1	50000000	3278400	0.237022s	0.401718s	4.072101s	0.053745s	4.764586s
2	50000000	3278400	0.293755s	0.439565s	3.566917s	0.039563s	4.339800s
3	50000000	3278400	0.247904s	0.524199s	3.488749s	0.044204s	4.305056s
4	50000000	3278400	0.264332s	0.443460s	3.579675s	0.035270s	4.322738s
0	50000000	6556800	0.259444s	0.450484s	3.785346s	0.036727s	4.532001s
1	50000000	6556800	0.386608s	0.474359s	3.970624s	0.074561s	4.906151s
2	50000000	6556800	0.260873s	0.611738s	3.734335s	0.037343s	4.644289s
3	50000000	6556800	0.349126s	0.517849s	4.126516s	0.039844s	5.033335s
4	50000000	6556800	0.264924s	0.462882s	3.767023s	0.042662s	4.537491s
