iters	problem_size	bucket_range	threads	time_a	time_b	time_c	time_d	time_e
0	50000000	128	1	0.311824s	19.749657s	1.328076s	0.124372s	21.513929s
1	50000000	128	1	0.240966s	12.797752s	1.600041s	0.174161s	14.812920s
2	50000000	128	1	0.236158s	13.195754s	1.543804s	0.094969s	15.070685s
3	50000000	128	1	0.362094s	13.454192s	1.247399s	0.105176s	15.168861s
4	50000000	128	1	0.225228s	11.333565s	1.699702s	0.187296s	13.445790s
0	100000000	128	2	0.550186s	18.648008s	1.369855s	0.173758s	20.741806s
1	100000000	128	2	0.256284s	17.085230s	1.347018s	0.121428s	18.809960s
2	100000000	128	2	0.314269s	18.677886s	1.494862s	0.148445s	20.635461s
3	100000000	128	2	0.403252s	23.839641s	1.593056s	0.148741s	25.984690s
4	100000000	128	2	0.292604s	23.676486s	1.766961s	0.255968s	25.992019s
0	150000000	128	3	0.399393s	27.377181s	1.727001s	0.329577s	29.833152s
1	150000000	128	3	0.759693s	31.409437s	1.711466s	0.228462s	34.109058s
2	150000000	128	3	0.370038s	37.645845s	1.844081s	0.197813s	40.057777s
3	150000000	128	3	0.449701s	32.129856s	2.280307s	0.196033s	35.055898s
4	150000000	128	3	0.691586s	34.757139s	1.614836s	0.258619s	37.322180s
0	200000000	128	4	0.754982s	44.869094s	2.367198s	0.425715s	48.416989s
1	200000000	128	4	1.142290s	48.624592s	2.760002s	0.472737s	52.999621s
2	200000000	128	4	0.887675s	47.045251s	2.452665s	0.412235s	50.797826s
3	200000000	128	4	1.270509s	49.763563s	3.165076s	0.349378s	54.548526s
4	200000000	128	4	1.151695s	41.721980s	2.724960s	0.445545s	46.044179s
0	250000000	128	5	1.356930s	59.377724s	2.594773s	0.427707s	63.757134s
1	250000000	128	5	0.887944s	59.362915s	3.733863s	0.610002s	64.594725s
2	250000000	128	5	1.179783s	52.185318s	2.465240s	0.304430s	56.134772s
3	250000000	128	5	0.962037s	52.834708s	2.310531s	0.332629s	56.439906s
4	250000000	128	5	1.017806s	48.938594s	2.782362s	0.538859s	53.277621s
0	300000000	128	6	1.251306s	59.387596s	3.153007s	0.436992s	64.228901s
1	300000000	128	6	1.213157s	55.350805s	2.597348s	0.477425s	59.638735s
2	300000000	128	6	1.425541s	57.362982s	3.198852s	0.529145s	62.516519s
3	300000000	128	6	1.222980s	56.571150s	2.707636s	0.558775s	61.060540s
4	300000000	128	6	1.212247s	74.615058s	5.066662s	0.791120s	81.685087s
0	350000000	128	7	1.964282s	66.384590s	3.612646s	0.699277s	72.660795s
1	350000000	128	7	1.348298s	67.976791s	3.203462s	0.490344s	73.018895s
2	350000000	128	7	1.198010s	69.522166s	3.657261s	0.436370s	74.813807s
3	350000000	128	7	1.535433s	72.235151s	3.450401s	0.685961s	77.906946s
4	350000000	128	7	1.241701s	65.157775s	3.349518s	0.465120s	70.214114s
0	400000000	128	8	1.553324s	78.649596s	4.098032s	0.614364s	84.915317s
1	400000000	128	8	1.760689s	80.586637s	3.989770s	0.588973s	86.926069s
2	400000000	128	8	1.653852s	79.181406s	3.932397s	0.594960s	85.362615s
3	400000000	128	8	1.635855s	80.585593s	3.769206s	0.854761s	86.845415s
4	400000000	128	8	1.561917s	79.819428s	4.080764s	0.587073s	86.049182s
