iters	problem_size	bucket_range	time_a	time_b	time_c	time_d	time_e
0	20000000	64	0.095700s	1.604872s	0.384991s	0.029923s	2.115486s
1	20000000	64	0.090950s	1.548731s	0.391792s	0.029608s	2.061081s
2	20000000	64	0.090803s	1.579930s	0.402140s	0.029565s	2.102438s
3	20000000	64	0.090600s	1.891934s	0.384749s	0.029779s	2.397062s
4	20000000	64	0.091115s	1.565326s	0.392177s	0.029208s	2.077826s
0	20000000	128	0.096643s	0.950029s	0.459387s	0.022731s	1.528789s
1	20000000	128	0.094572s	0.914887s	0.447954s	0.022919s	1.480332s
2	20000000	128	0.090781s	0.866934s	0.456716s	0.022761s	1.437191s
3	20000000	128	0.097821s	0.884176s	0.463429s	0.022685s	1.468113s
4	20000000	128	0.090133s	0.982353s	0.464628s	0.022966s	1.560080s
0	20000000	256	0.092611s	0.538637s	0.531721s	0.022013s	1.184982s
1	20000000	256	0.097349s	0.543570s	0.532100s	0.021296s	1.194315s
2	20000000	256	0.091300s	0.566030s	0.537476s	0.021520s	1.216325s
3	20000000	256	0.090609s	0.538469s	0.534564s	0.021067s	1.184709s
4	20000000	256	0.092664s	0.530208s	0.525953s	0.021469s	1.170295s
0	20000000	512	0.094203s	0.428561s	0.589242s	0.018710s	1.130716s
1	20000000	512	0.091987s	0.425353s	0.595216s	0.018777s	1.131334s
2	20000000	512	0.094109s	0.425659s	0.601246s	0.019421s	1.140435s
3	20000000	512	0.102576s	0.440825s	0.611849s	0.018405s	1.173654s
4	20000000	512	0.090960s	0.434942s	0.612127s	0.018504s	1.156533s
0	20000000	1024	0.092962s	0.418280s	0.657381s	0.017167s	1.185789s
1	20000000	1024	0.104827s	0.454707s	0.668225s	0.016739s	1.244497s
2	20000000	1024	0.102826s	0.414580s	0.648860s	0.017362s	1.183628s
3	20000000	1024	0.092177s	0.418339s	0.667791s	0.016883s	1.195190s
4	20000000	1024	0.092379s	0.416662s	0.685409s	0.017540s	1.211989s
0	20000000	2048	0.093302s	0.378642s	0.729223s	0.014561s	1.215728s
1	20000000	2048	0.091929s	0.379154s	0.741109s	0.014860s	1.227052s
2	20000000	2048	0.095142s	0.401229s	0.730990s	0.015125s	1.242486s
3	20000000	2048	0.104027s	0.384966s	0.723981s	0.014657s	1.227631s
4	20000000	2048	0.098219s	0.393366s	0.746619s	0.014822s	1.253026s
0	20000000	4096	0.109197s	0.345486s	0.786602s	0.017117s	1.258402s
1	20000000	4096	0.100236s	0.358971s	0.849740s	0.014906s	1.323852s
2	20000000	4096	0.108913s	0.346939s	0.797023s	0.013468s	1.266342s
3	20000000	4096	0.099958s	0.353916s	0.801365s	0.014828s	1.270067s
4	20000000	4096	0.100303s	0.339753s	0.836348s	0.014075s	1.290479s
0	20000000	8196	0.101531s	0.277316s	0.856559s	0.012998s	1.248403s
1	20000000	8196	0.104965s	0.274544s	0.858262s	0.012822s	1.250593s
2	20000000	8196	0.110137s	0.294133s	0.865302s	0.012726s	1.282298s
3	20000000	8196	0.102724s	0.277869s	0.851994s	0.015708s	1.248295s
4	20000000	8196	0.101959s	0.292130s	0.877812s	0.014316s	1.286218s
0	20000000	20480	0.100343s	0.185938s	0.958519s	0.018880s	1.263682s
1	20000000	20480	0.102481s	0.214365s	0.949179s	0.019558s	1.285583s
2	20000000	20480	0.095057s	0.210315s	0.952020s	0.019042s	1.276433s
3	20000000	20480	0.102895s	0.194639s	0.945339s	0.019099s	1.261973s
4	20000000	20480	0.094931s	0.191040s	0.928007s	0.019391s	1.233369s
0	20000000	40960	0.099580s	0.201128s	0.986047s	0.014358s	1.301112s
1	20000000	40960	0.098390s	0.189480s	0.997158s	0.018599s	1.303627s
2	20000000	40960	0.097677s	0.189291s	1.008328s	0.016453s	1.311749s
3	20000000	40960	0.107171s	0.188358s	1.023630s	0.014323s	1.333482s
4	20000000	40960	0.106175s	0.181218s	1.060672s	0.015901s	1.363967s
0	20000000	81960	0.115263s	0.196737s	1.073094s	0.013851s	1.398946s
1	20000000	81960	0.107171s	0.196466s	1.100287s	0.015522s	1.419446s
2	20000000	81960	0.104974s	0.183464s	1.098084s	0.014602s	1.401123s
3	20000000	81960	0.102718s	0.199768s	1.082849s	0.013879s	1.399214s
4	20000000	81960	0.107466s	0.193376s	1.059565s	0.013685s	1.374092s
0	20000000	204800	0.106060s	0.186031s	1.152916s	0.014000s	1.459007s
1	20000000	204800	0.105275s	0.204481s	1.172514s	0.015965s	1.498235s
2	20000000	204800	0.102931s	0.196060s	1.153748s	0.016756s	1.469495s
3	20000000	204800	0.100515s	0.193688s	1.127950s	0.013706s	1.435858s
4	20000000	204800	0.101627s	0.193544s	1.142362s	0.015689s	1.453221s
0	20000000	409600	0.104073s	0.190729s	1.195814s	0.012057s	1.502673s
1	20000000	409600	0.100611s	0.205987s	1.213613s	0.013062s	1.533273s
2	20000000	409600	0.096084s	0.204105s	1.221676s	0.014265s	1.536130s
3	20000000	409600	0.112360s	0.199214s	1.187598s	0.012875s	1.512046s
4	20000000	409600	0.112719s	0.192109s	1.174371s	0.014655s	1.493854s
0	20000000	819600	0.109696s	0.184912s	1.283259s	0.011411s	1.589277s
1	20000000	819600	0.110732s	0.189490s	1.336964s	0.012452s	1.649638s
2	20000000	819600	0.101897s	0.230291s	1.313504s	0.011932s	1.657624s
3	20000000	819600	0.094256s	0.196404s	1.275288s	0.011317s	1.577265s
4	20000000	819600	0.101824s	0.200143s	1.315810s	0.010907s	1.628684s
